"house_number","street_name","zip_code"
"21","1 AVENUE","10003"
"25","1 AVENUE","10003"
"40","1 AVENUE","10009"
"43","1 AVENUE","10003"
"60","1 AVENUE","10009"
"80","1 AVENUE","10009"
"155","1 AVENUE","10003"
"224","1 AVENUE","10009"
"228","1 AVENUE","10009"
"235","1 AVENUE","10003"
"240","1 AVENUE","10009"
"240","1 AVENUE","10009"
"243","1 AVENUE","10003"
"257","1 AVENUE","10003"
"270","1 AVENUE","10009"
"272","1 AVENUE","10009"
"280","1 AVENUE","10009"
"281","1 AVENUE","10003"
"297","1 AVENUE","10003"
"300","1 AVENUE","10009"
"310","1 AVENUE","10009"
"342","1 AVENUE","10009"
"350","1 AVENUE","10010"
"360","1 AVENUE","10010"
"365","1 AVENUE","10010"
"369","1 AVENUE","10010"
"370","1 AVENUE","10010"
"385","1 AVENUE","10010"
"390","1 AVENUE","10010"
"400","1 AVENUE","10010"
"401","1 AVENUE","10010"
"421","1 AVENUE","10010"
"429","1 AVENUE","10010"
"430","1 AVENUE","10010"
"433","1 AVENUE","10010"
"455","1 AVENUE","10016"
"462","1 AVENUE","10016"
"479","1 AVENUE","10016"
"495","1 AVENUE","10016"
"515","1 AVENUE","10016"
"516","1 AVENUE","10016"
"530","1 AVENUE","10016"
"540","1 AVENUE","10016"
"552","1 AVENUE","10016"
"560","1 AVENUE","10016"
"562","1 AVENUE","10016"
"577","1 AVENUE","10016"
"579","1 AVENUE","10016"
"599","1 AVENUE","10016"
"603","1 AVENUE","10016"
"611","1 AVENUE","10016"
"626","1 AVENUE","10016"
"630","1 AVENUE","10016"
"645","1 AVENUE","10016"
"646","1 AVENUE","10016"
"652","1 AVENUE","10016"
"660","1 AVENUE","10016"
"671","1 AVENUE","10016"
"701","1 AVENUE","10017"
"765","1 AVENUE","10017"
"801","1 AVENUE","10017"
"825","1 AVENUE","10017"
"845","1 AVENUE","10017"
"865","1 AVENUE","10017"
"866","1 AVENUE","10017"
"871","1 AVENUE","10017"
"875","1 AVENUE","10017"
"900","1 AVENUE","10022"
"930","1 AVENUE","10022"
"931","1 AVENUE","10022"
"959","1 AVENUE","10022"
"965","1 AVENUE","10022"
"977","1 AVENUE","10022"
"984","1 AVENUE","10022"
"989","1 AVENUE","10022"
"994","1 AVENUE","10022"
"1011","1 AVENUE","10022"
"1026","1 AVENUE","10022"
"1075","1 AVENUE","10022"
"1076","1 AVENUE","10022"
"1110","1 AVENUE","10065"
"1114","1 AVENUE","10065"
"1115","1 AVENUE","10065"
"1124","1 AVENUE","10065"
"1134","1 AVENUE","10065"
"1147","1 AVENUE","10065"
"1165","1 AVENUE","10065"
"1185","1 AVENUE","10065"
"1189","1 AVENUE","10065"
"1238","1 AVENUE","10065"
"1246","1 AVENUE","10065"
"1269","1 AVENUE","10065"
"1275","1 AVENUE","10065"
"1330","1 AVENUE","10021"
"1355","1 AVENUE","10021"
"1363","1 AVENUE","10021"
"1378","1 AVENUE","10021"
"1429","1 AVENUE","10021"
"1456","1 AVENUE","10021"
"1468","1 AVENUE","10075"
"1479","1 AVENUE","10075"
"1481","1 AVENUE","10075"
"1484","1 AVENUE","10075"
"1485","1 AVENUE","10075"
"1499","1 AVENUE","10075"
"1513","1 AVENUE","10075"
"1561","1 AVENUE","10028"
"1570","1 AVENUE","10028"
"1571","1 AVENUE","10028"
"1589","1 AVENUE","10028"
"1646","1 AVENUE","10028"
"1683","1 AVENUE","10128"
"1693","1 AVENUE","10128"
"1700","1 AVENUE","10128"
"1721","1 AVENUE","10128"
"1729","1 AVENUE","10128"
"1733","1 AVENUE","10128"
"1743","1 AVENUE","10128"
"1745","1 AVENUE","10128"
"1749","1 AVENUE","10128"
"1763","1 AVENUE","10128"
"1780","1 AVENUE","10128"
"1781","1 AVENUE","10128"
"1806","1 AVENUE","10128"
"1830","1 AVENUE","10128"
"1834","1 AVENUE","10128"
"1918","1 AVENUE","10029"
"1944","1 AVENUE","10029"
"1955","1 AVENUE","10029"
"1964","1 AVENUE","10029"
"1966","1 AVENUE","10029"
"2019","1 AVENUE","10029"
"2027","1 AVENUE","10029"
"2065","1 AVENUE","10029"
"2070","1 AVENUE","10029"
"2075","1 AVENUE","10029"
"2090","1 AVENUE","10029"
"2116","1 AVENUE","10029"
"2116","1 AVENUE","10029"
"2138","1 AVENUE","10029"
"2159","1 AVENUE","10029"
"2175","1 AVENUE","10029"
"2185","1 AVENUE","10029"
"2201","1 AVENUE","10029"
"2215","1 AVENUE","10029"
"2225","1 AVENUE","10029"
"2360","1 AVENUE","10035"
"2369","1 AVENUE","10035"
"2370","1 AVENUE","10035"
"2375","1 AVENUE","10035"
"2385","1 AVENUE","10035"
"2390","1 AVENUE","10035"
"2392","1 AVENUE","10035"
"2394","1 AVENUE","10035"
"2395","1 AVENUE","10035"
"2405","1 AVENUE","10035"
"40","1 PLACE","10280"
"40","1 PLACE","10280"
"40","1 PLACE","10280"
"28","10 AVENUE","10014"
"32","10 AVENUE","10014"
"40","10 AVENUE","10014"
"46","10 AVENUE","10014"
"58","10 AVENUE","10011"
"78","10 AVENUE","10011"
"81","10 AVENUE","10011"
"101","10 AVENUE","10011"
"136","10 AVENUE","10011"
"140","10 AVENUE","10011"
"177","10 AVENUE","10011"
"209","10 AVENUE","10011"
"231","10 AVENUE","10011"
"245","10 AVENUE","10001"
"249","10 AVENUE","10001"
"264","10 AVENUE","10001"
"288","10 AVENUE","10001"
"303","10 AVENUE","10001"
"368","10 AVENUE","10001"
"444","10 AVENUE","10001"
"461","10 AVENUE","10018"
"469","10 AVENUE","10018"
"477","10 AVENUE","10018"
"501","10 AVENUE","10018"
"543","10 AVENUE","10018"
"561","10 AVENUE","10036"
"575","10 AVENUE","10036"
"576","10 AVENUE","10036"
"577","10 AVENUE","10036"
"598","10 AVENUE","10036"
"601","10 AVENUE","10036"
"614","10 AVENUE","10036"
"638","10 AVENUE","10036"
"651","10 AVENUE","10036"
"653","10 AVENUE","10036"
"698","10 AVENUE","10019"
"721","10 AVENUE","10019"
"742","10 AVENUE","10019"
"747","10 AVENUE","10019"
"755","10 AVENUE","10019"
"767","10 AVENUE","10019"
"789","10 AVENUE","10019"
"800","10 AVENUE","10019"
"811","10 AVENUE","10019"
"814","10 AVENUE","10019"
"815","10 AVENUE","10019"
"843","10 AVENUE","10019"
"879","10 AVENUE","10019"
"885","10 AVENUE","10019"
"899","10 AVENUE","10019"
"3703","10 AVENUE","10034"
"3716","10 AVENUE","10034"
"3736","10 AVENUE","10034"
"3758","10 AVENUE","10034"
"3784","10 AVENUE","10034"
"3863","10 AVENUE","10034"
"4055","10 AVENUE","10034"
"122","11 AVENUE","10011"
"144","11 AVENUE","10011"
"154","11 AVENUE","10011"
"200","11 AVENUE","10011"
"250","11 AVENUE","10001"
"262","11 AVENUE","10001"
"314","11 AVENUE","10001"
"418","11 AVENUE","10018"
"534","11 AVENUE","10036"
"552","11 AVENUE","10019"
"591","11 AVENUE","10036"
"599","11 AVENUE","10036"
"617","11 AVENUE","10036"
"627","11 AVENUE","10036"
"628","11 AVENUE","10036"
"628","11 AVENUE","10036"
"645","11 AVENUE","10036"
"653","11 AVENUE","10036"
"665","11 AVENUE","10019"
"666","11 AVENUE","10019"
"688","11 AVENUE","10019"
"706","11 AVENUE","10019"
"715","11 AVENUE","10019"
"770","11 AVENUE","10019"
"770","11 AVENUE","10019"
"780","11 AVENUE","10019"
"787","11 AVENUE","10019"
"798","11 AVENUE","10019"
"805","11 AVENUE","10019"
"806","11 AVENUE","10019"
"823","11 AVENUE","10019"
"837","11 AVENUE","10019"
"148","12 AVENUE","10011"
"220","12 AVENUE","10001"
"360","12 AVENUE","10018"
"451","12 AVENUE","10018"
"460","12 AVENUE","10018"
"520","12 AVENUE","10036"
"620","12 AVENUE","10036"
"635","12 AVENUE","10036"
"654","12 AVENUE","10019"
"677","12 AVENUE","10019"
"677","12 AVENUE","10019"
"711","12 AVENUE","10019"
"715","12 AVENUE","10019"
"715","12 AVENUE","10019"
"715","12 AVENUE","10019"
"786","12 AVENUE","10019"
"2276","12 AVENUE","10027"
"2328","12 AVENUE","10027"
"2331","12 AVENUE","10027"
"2335","12 AVENUE","10027"
"2341","12 AVENUE","10027"
"2351","12 AVENUE","10031"
"2360","12 AVENUE","10027"
"16","2 AVENUE","10003"
"28","2 AVENUE","10003"
"31","2 AVENUE","10003"
"43","2 AVENUE","10003"
"57","2 AVENUE","10003"
"60","2 AVENUE","10003"
"63","2 AVENUE","10003"
"72","2 AVENUE","10003"
"104","2 AVENUE","10003"
"107","2 AVENUE","10003"
"108","2 AVENUE","10003"
"129","2 AVENUE","10003"
"133","2 AVENUE","10003"
"135","2 AVENUE","10003"
"136","2 AVENUE","10003"
"137","2 AVENUE","10003"
"144","2 AVENUE","10003"
"145","2 AVENUE","10003"
"159","2 AVENUE","10003"
"162","2 AVENUE","10003"
"170","2 AVENUE","10003"
"175","2 AVENUE","10003"
"180","2 AVENUE","10003"
"189","2 AVENUE","10003"
"193","2 AVENUE","10003"
"203","2 AVENUE","10003"
"204","2 AVENUE","10003"
"205","2 AVENUE","10003"
"218","2 AVENUE","10003"
"223","2 AVENUE","10003"
"224","2 AVENUE","10003"
"230","2 AVENUE","10003"
"236","2 AVENUE","10003"
"250","2 AVENUE","10035"
"301","2 AVENUE","10003"
"303","2 AVENUE","10022"
"345","2 AVENUE","10010"
"353","2 AVENUE","10010"
"359","2 AVENUE","10010"
"374","2 AVENUE","10010"
"382","2 AVENUE","10010"
"400","2 AVENUE","10010"
"401","2 AVENUE","10010"
"441","2 AVENUE","10010"
"453","2 AVENUE","10010"
"460","2 AVENUE","10016"
"500","2 AVENUE","10016"
"530","2 AVENUE","10016"
"535","2 AVENUE","10016"
"546","2 AVENUE","10016"
"546","2 AVENUE","10016"
"546","2 AVENUE","10016"
"559","2 AVENUE","10016"
"577","2 AVENUE","10016"
"622","2 AVENUE","10016"
"635","2 AVENUE","10016"
"649","2 AVENUE","10016"
"655","2 AVENUE","10016"
"657","2 AVENUE","10016"
"699","2 AVENUE","10016"
"710","2 AVENUE","10016"
"748","2 AVENUE","10017"
"793","2 AVENUE","10017"
"800","2 AVENUE","10017"
"803","2 AVENUE","10017"
"808","2 AVENUE","10017"
"814","2 AVENUE","10017"
"825","2 AVENUE","10017"
"845","2 AVENUE","10017"
"846","2 AVENUE","10017"
"864","2 AVENUE","10017"
"883","2 AVENUE","10017"
"884","2 AVENUE","10017"
"902","2 AVENUE","10017"
"926","2 AVENUE","10022"
"964","2 AVENUE","10022"
"988","2 AVENUE","10022"
"989","2 AVENUE","10022"
"1075","2 AVENUE","10022"
"1104","2 AVENUE","10022"
"1153","2 AVENUE","10065"
"1161","2 AVENUE","10065"
"1162","2 AVENUE","10065"
"1166","2 AVENUE","10065"
"1180","2 AVENUE","10065"
"1185","2 AVENUE","10065"
"1201","2 AVENUE","10065"
"1202","2 AVENUE","10065"
"1210","2 AVENUE","10065"
"1225","2 AVENUE","10065"
"1236","2 AVENUE","10065"
"1258","2 AVENUE","10065"
"1283","2 AVENUE","10065"
"1296","2 AVENUE","10065"
"1317","2 AVENUE","10021"
"1328","2 AVENUE","10021"
"1329","2 AVENUE","10021"
"1349","2 AVENUE","10021"
"1392","2 AVENUE","10021"
"1398","2 AVENUE","10021"
"1431","2 AVENUE","10021"
"1448","2 AVENUE","10021"
"1473","2 AVENUE","10075"
"1480","2 AVENUE","10075"
"1510","2 AVENUE","10075"
"1551","2 AVENUE","10028"
"1553","2 AVENUE","10028"
"1615","2 AVENUE","10028"
"1624","2 AVENUE","10028"
"1628","2 AVENUE","10028"
"1649","2 AVENUE","10028"
"1654","2 AVENUE","10028"
"1659","2 AVENUE","10028"
"1681","2 AVENUE","10128"
"1682","2 AVENUE","10128"
"1705","2 AVENUE","10128"
"1724","2 AVENUE","10128"
"1729","2 AVENUE","10128"
"1738","2 AVENUE","10128"
"1751","2 AVENUE","10128"
"1760","2 AVENUE","10128"
"1770","2 AVENUE","10128"
"1779","2 AVENUE","10128"
"1824","2 AVENUE","10128"
"1834","2 AVENUE","10128"
"1842","2 AVENUE","10128"
"1850","2 AVENUE","10128"
"1865","2 AVENUE","10029"
"1867","2 AVENUE","10029"
"1895","2 AVENUE","10029"
"1905","2 AVENUE","10029"
"1924","2 AVENUE","10029"
"1932","2 AVENUE","10029"
"1946","2 AVENUE","10029"
"1955","2 AVENUE","10029"
"1968","2 AVENUE","10029"
"1982","2 AVENUE","10029"
"2025","2 AVENUE","10029"
"2035","2 AVENUE","10029"
"2075","2 AVENUE","10029"
"2078","2 AVENUE","10029"
"2081","2 AVENUE","10029"
"2090","2 AVENUE","10029"
"2132","2 AVENUE","10029"
"2147","2 AVENUE","10029"
"2167","2 AVENUE","10029"
"2185","2 AVENUE","10029"
"2190","2 AVENUE","10029"
"2205","2 AVENUE","10029"
"2215","2 AVENUE","10029"
"2224","2 AVENUE","10029"
"2227","2 AVENUE","10029"
"2237","2 AVENUE","10029"
"2258","2 AVENUE","10029"
"2264","2 AVENUE","10035"
"2301","2 AVENUE","10035"
"2370","2 AVENUE","10035"
"2383","2 AVENUE","10035"
"2390","2 AVENUE","10035"
"2400","2 AVENUE","10035"
"2485","2 AVENUE","10035"
"29","3 AVENUE","10003"
"30","3 AVENUE","10003"
"33","3 AVENUE","10003"
"47","3 AVENUE","10003"
"66","3 AVENUE","10003"
"66","3 AVENUE","10003"
"75","3 AVENUE","10003"
"84","3 AVENUE","10003"
"87","3 AVENUE","10003"
"100","3 AVENUE","10003"
"109","3 AVENUE","10003"
"110","3 AVENUE","10003"
"111","3 AVENUE","10003"
"129","3 AVENUE","10003"
"146","3 AVENUE","10003"
"157","3 AVENUE","10003"
"160","3 AVENUE","10003"
"166","3 AVENUE","10065"
"167","3 AVENUE","10003"
"167","3 AVENUE","10128"
"205","3 AVENUE","10003"
"206","3 AVENUE","10003"
"220","3 AVENUE","10003"
"244","3 AVENUE","10010"
"247","3 AVENUE","10010"
"263","3 AVENUE","10010"
"286","3 AVENUE","10010"
"289","3 AVENUE","10010"
"310","3 AVENUE","10010"
"321","3 AVENUE","10010"
"322","3 AVENUE","10010"
"344","3 AVENUE","10010"
"351","3 AVENUE","10010"
"366","3 AVENUE","10016"
"370","3 AVENUE","10016"
"378","3 AVENUE","10016"
"382","3 AVENUE","10016"
"384","3 AVENUE","10016"
"385","3 AVENUE","10016"
"400","3 AVENUE","10016"
"402","3 AVENUE","10016"
"416","3 AVENUE","10016"
"421","3 AVENUE","10016"
"443","3 AVENUE","10016"
"446","3 AVENUE","10016"
"458","3 AVENUE","10016"
"470","3 AVENUE","10016"
"471","3 AVENUE","10016"
"488","3 AVENUE","10016"
"507","3 AVENUE","10016"
"518","3 AVENUE","10016"
"533","3 AVENUE","10016"
"535","3 AVENUE","10016"
"543","3 AVENUE","10016"
"554","3 AVENUE","10016"
"560","3 AVENUE","10016"
"567","3 AVENUE","10016"
"590","3 AVENUE","10016"
"593","3 AVENUE","10016"
"600","3 AVENUE","10016"
"605","3 AVENUE","10158"
"621","3 AVENUE","10017"
"622","3 AVENUE","10017"
"628","3 AVENUE","10017"
"647","3 AVENUE","10017"
"666","3 AVENUE","10017"
"681","3 AVENUE","10017"
"711","3 AVENUE","10017"
"720","3 AVENUE","10017"
"733","3 AVENUE","10017"
"747","3 AVENUE","10017"
"750","3 AVENUE","10017"
"757","3 AVENUE","10017"
"760","3 AVENUE","10017"
"777","3 AVENUE","10017"
"780","3 AVENUE","10017"
"800","3 AVENUE","10022"
"805","3 AVENUE","10022"
"825","3 AVENUE","10022"
"830","3 AVENUE","10022"
"838","3 AVENUE","10022"
"845","3 AVENUE","10022"
"875","3 AVENUE","10022"
"878","3 AVENUE","10022"
"885","3 AVENUE","10022"
"900","3 AVENUE","10022"
"909","3 AVENUE","10022"
"915","3 AVENUE","10022"
"919","3 AVENUE","10022"
"920","3 AVENUE","10022"
"935","3 AVENUE","10022"
"940","3 AVENUE","10022"
"942","3 AVENUE","10022"
"950","3 AVENUE","10022"
"953","3 AVENUE","10022"
"968","3 AVENUE","10022"
"979","3 AVENUE","10022"
"981","3 AVENUE","10022"
"983","3 AVENUE","10022"
"991","3 AVENUE","10022"
"993","3 AVENUE","10022"
"999","3 AVENUE","10022"
"1001","3 AVENUE","10022"
"1011","3 AVENUE","10065"
"1059","3 AVENUE","10065"
"1066","3 AVENUE","10065"
"1081","3 AVENUE","10065"
"1091","3 AVENUE","10065"
"1110","3 AVENUE","10065"
"1130","3 AVENUE","10065"
"1151","3 AVENUE","10065"
"1156","3 AVENUE","10065"
"1175","3 AVENUE","10065"
"1230","3 AVENUE","10021"
"1231","3 AVENUE","10021"
"1250","3 AVENUE","10021"
"1251","3 AVENUE","10021"
"1270","3 AVENUE","10021"
"1307","3 AVENUE","10021"
"1317","3 AVENUE","10021"
"1321","3 AVENUE","10021"
"1332","3 AVENUE","10075"
"1334","3 AVENUE","10075"
"1345","3 AVENUE","10075"
"1356","3 AVENUE","10075"
"1411","3 AVENUE","10028"
"1421","3 AVENUE","10028"
"1430","3 AVENUE","10028"
"1438","3 AVENUE","10028"
"1441","3 AVENUE","10028"
"1450","3 AVENUE","10028"
"1459","3 AVENUE","10028"
"1476","3 AVENUE","10028"
"1479","3 AVENUE","10028"
"1480","3 AVENUE","10028"
"1491","3 AVENUE","10028"
"1495","3 AVENUE","10028"
"1501","3 AVENUE","10028"
"1504","3 AVENUE","10028"
"1510","3 AVENUE","10028"
"1511","3 AVENUE","10028"
"1527","3 AVENUE","10028"
"1535","3 AVENUE","10028"
"1536","3 AVENUE","10028"
"1554","3 AVENUE","10128"
"1587","3 AVENUE","10128"
"1601","3 AVENUE","10128"
"1604","3 AVENUE","10128"
"1623","3 AVENUE","10128"
"1645","3 AVENUE","10128"
"1671","3 AVENUE","10128"
"1676","3 AVENUE","10128"
"1754","3 AVENUE","10029"
"1761","3 AVENUE","10029"
"1773","3 AVENUE","10029"
"1794","3 AVENUE","10029"
"1808","3 AVENUE","10029"
"1809","3 AVENUE","10029"
"1810","3 AVENUE","10029"
"1851","3 AVENUE","10029"
"1862","3 AVENUE","10029"
"1875","3 AVENUE","10029"
"1915","3 AVENUE","10029"
"1941","3 AVENUE","10029"
"1945","3 AVENUE","10029"
"2055","3 AVENUE","10029"
"2060","3 AVENUE","10029"
"2065","3 AVENUE","10029"
"2070","3 AVENUE","10029"
"2075","3 AVENUE","10029"
"2095","3 AVENUE","10029"
"2136","3 AVENUE","10035"
"2151","3 AVENUE","10035"
"2174","3 AVENUE","10035"
"2180","3 AVENUE","10035"
"2182","3 AVENUE","10035"
"2191","3 AVENUE","10035"
"2205","3 AVENUE","10035"
"2211","3 AVENUE","10035"
"2212","3 AVENUE","10035"
"2231","3 AVENUE","10035"
"2239","3 AVENUE","10035"
"2246","3 AVENUE","10035"
"2252","3 AVENUE","10035"
"2253","3 AVENUE","10035"
"2258","3 AVENUE","10035"
"2279","3 AVENUE","10035"
"2283","3 AVENUE","10035"
"2293","3 AVENUE","10035"
"59","4 AVENUE","10003"
"65","4 AVENUE","10003"
"75","4 AVENUE","10003"
"80","4 AVENUE","10003"
"84","4 AVENUE","10003"
"101","4 AVENUE","10003"
"102","4 AVENUE","10003"
"112","4 AVENUE","10003"
"113","4 AVENUE","10003"
"132","4 AVENUE","10003"
"137","4 AVENUE","10003"
"140","4 AVENUE","10003"
"140","4 AVENUE","10003"
"1","5 AVENUE","10003"
"2","5 AVENUE","10011"
"9","5 AVENUE","10003"
"10","5 AVENUE","10011"
"12","5 AVENUE","10011"
"14","5 AVENUE","10011"
"20","5 AVENUE","10011"
"23","5 AVENUE","10003"
"28","5 AVENUE","10011"
"29","5 AVENUE","10003"
"31","5 AVENUE","10003"
"35","5 AVENUE","10003"
"39","5 AVENUE","10003"
"40","5 AVENUE","10011"
"41","5 AVENUE","10003"
"43","5 AVENUE","10003"
"45","5 AVENUE","10003"
"49","5 AVENUE","10003"
"53","5 AVENUE","10003"
"57","5 AVENUE","10003"
"60","5 AVENUE","10011"
"61","5 AVENUE","10003"
"64","5 AVENUE","10011"
"69","5 AVENUE","10003"
"71","5 AVENUE","10003"
"72","5 AVENUE","10011"
"73","5 AVENUE","10003"
"74","5 AVENUE","10011"
"77","5 AVENUE","10003"
"78","5 AVENUE","10011"
"79","5 AVENUE","10003"
"80","5 AVENUE","10011"
"85","5 AVENUE","10003"
"87","5 AVENUE","10003"
"91","5 AVENUE","10003"
"92","5 AVENUE","10011"
"95","5 AVENUE","10003"
"97","5 AVENUE","10003"
"98","5 AVENUE","10011"
"98","5 AVENUE","10011"
"101","5 AVENUE","10003"
"102","5 AVENUE","10011"
"103","5 AVENUE","10003"
"105","5 AVENUE","10003"
"105","5 AVENUE","10003"
"108","5 AVENUE","10011"
"109","5 AVENUE","10003"
"110","5 AVENUE","10011"
"113","5 AVENUE","10003"
"113","5 AVENUE","10003"
"114","5 AVENUE","10011"
"118","5 AVENUE","10011"
"119","5 AVENUE","10003"
"122","5 AVENUE","10011"
"123","5 AVENUE","10003"
"125","5 AVENUE","10003"
"126","5 AVENUE","10011"
"129","5 AVENUE","10003"
"130","5 AVENUE","10011"
"133","5 AVENUE","10003"
"134","5 AVENUE","10011"
"137","5 AVENUE","10010"
"138","5 AVENUE","10011"
"139","5 AVENUE","10010"
"140","5 AVENUE","10011"
"141","5 AVENUE","10010"
"142","5 AVENUE","10011"
"146","5 AVENUE","10011"
"148","5 AVENUE","10011"
"149","5 AVENUE","10010"
"153","5 AVENUE","10010"
"156","5 AVENUE","10010"
"160","5 AVENUE","10010"
"162","5 AVENUE","10010"
"164","5 AVENUE","10010"
"166","5 AVENUE","10010"
"168","5 AVENUE","10010"
"170","5 AVENUE","10010"
"172","5 AVENUE","10010"
"174","5 AVENUE","10010"
"175","5 AVENUE","10010"
"182","5 AVENUE","10010"
"184","5 AVENUE","10010"
"190","5 AVENUE","10010"
"204","5 AVENUE","10010"
"206","5 AVENUE","10010"
"208","5 AVENUE","10010"
"210","5 AVENUE","10010"
"212","5 AVENUE","10010"
"218","5 AVENUE","10001"
"222","5 AVENUE","10001"
"224","5 AVENUE","10001"
"226","5 AVENUE","10001"
"230","5 AVENUE","10001"
"233","5 AVENUE","10016"
"234","5 AVENUE","10001"
"235","5 AVENUE","10016"
"236","5 AVENUE","10001"
"239","5 AVENUE","10016"
"240","5 AVENUE","10001"
"242","5 AVENUE","10001"
"244","5 AVENUE","10001"
"245","5 AVENUE","10016"
"246","5 AVENUE","10001"
"250","5 AVENUE","10001"
"254","5 AVENUE","10001"
"255","5 AVENUE","10016"
"256","5 AVENUE","10001"
"258","5 AVENUE","10001"
"261","5 AVENUE","10016"
"262","5 AVENUE","10001"
"264","5 AVENUE","10001"
"267","5 AVENUE","10016"
"273","5 AVENUE","10016"
"276","5 AVENUE","10001"
"277","5 AVENUE","10016"
"279","5 AVENUE","10016"
"281","5 AVENUE","10016"
"284","5 AVENUE","10001"
"285","5 AVENUE","10016"
"286","5 AVENUE","10001"
"290","5 AVENUE","10001"
"292","5 AVENUE","10001"
"294","5 AVENUE","10001"
"296","5 AVENUE","10001"
"298","5 AVENUE","10001"
"302","5 AVENUE","10001"
"303","5 AVENUE","10016"
"304","5 AVENUE","10001"
"306","5 AVENUE","10001"
"307","5 AVENUE","10016"
"308","5 AVENUE","10001"
"309","5 AVENUE","10016"
"310","5 AVENUE","10001"
"312","5 AVENUE","10001"
"313","5 AVENUE","10016"
"314","5 AVENUE","10001"
"315","5 AVENUE","10016"
"316","5 AVENUE","10001"
"319","5 AVENUE","10016"
"320","5 AVENUE","10001"
"323","5 AVENUE","10016"
"326","5 AVENUE","10001"
"331","5 AVENUE","10016"
"335","5 AVENUE","10016"
"341","5 AVENUE","10016"
"349","5 AVENUE","10016"
"350","5 AVENUE","10118"
"358","5 AVENUE","10001"
"366","5 AVENUE","10001"
"372","5 AVENUE","10001"
"373","5 AVENUE","10016"
"375","5 AVENUE","10016"
"377","5 AVENUE","10016"
"379","5 AVENUE","10016"
"381","5 AVENUE","10016"
"383","5 AVENUE","10016"
"384","5 AVENUE","10018"
"385","5 AVENUE","10016"
"386","5 AVENUE","10018"
"389","5 AVENUE","10016"
"391","5 AVENUE","10016"
"400","5 AVENUE","10018"
"401","5 AVENUE","10016"
"402","5 AVENUE","10018"
"411","5 AVENUE","10016"
"415","5 AVENUE","10016"
"420","5 AVENUE","10018"
"424","5 AVENUE","10018"
"425","5 AVENUE","10016"
"431","5 AVENUE","10016"
"433","5 AVENUE","10016"
"435","5 AVENUE","10016"
"436","5 AVENUE","10018"
"437","5 AVENUE","10016"
"441","5 AVENUE","10016"
"442","5 AVENUE","10018"
"452","5 AVENUE","10018"
"461","5 AVENUE","10017"
"463","5 AVENUE","10017"
"471","5 AVENUE","10017"
"476","5 AVENUE","10018"
"476","5 AVENUE","10018"
"479","5 AVENUE","10017"
"489","5 AVENUE","10017"
"495","5 AVENUE","10017"
"500","5 AVENUE","10110"
"505","5 AVENUE","10017"
"509","5 AVENUE","10017"
"511","5 AVENUE","10017"
"519","5 AVENUE","10175"
"522","5 AVENUE","10036"
"523","5 AVENUE","10175"
"530","5 AVENUE","10036"
"531","5 AVENUE","10017"
"539","5 AVENUE","10017"
"546","5 AVENUE","10036"
"550","5 AVENUE","10036"
"554","5 AVENUE","10036"
"555","5 AVENUE","10017"
"556","5 AVENUE","10036"
"560","5 AVENUE","10036"
"562","5 AVENUE","10036"
"563","5 AVENUE","10017"
"564","5 AVENUE","10036"
"570","5 AVENUE","10036"
"572","5 AVENUE","10036"
"574","5 AVENUE","10036"
"575","5 AVENUE","10017"
"576","5 AVENUE","10036"
"579","5 AVENUE","10017"
"581","5 AVENUE","10017"
"587","5 AVENUE","10017"
"589","5 AVENUE","10017"
"590","5 AVENUE","10036"
"592","5 AVENUE","10036"
"597","5 AVENUE","10017"
"600","5 AVENUE","10020"
"601","5 AVENUE","10017"
"603","5 AVENUE","10017"
"604","5 AVENUE","10020"
"605","5 AVENUE","10017"
"606","5 AVENUE","10020"
"607","5 AVENUE","10017"
"610","5 AVENUE","10020"
"611","5 AVENUE","10022"
"620","5 AVENUE","10020"
"626","5 AVENUE","10020"
"631","5 AVENUE","10022"
"640","5 AVENUE","10019"
"641","5 AVENUE","10022"
"647","5 AVENUE","10022"
"650","5 AVENUE","10019"
"655","5 AVENUE","10022"
"656","5 AVENUE","10103"
"661","5 AVENUE","10022"
"665","5 AVENUE","10022"
"666","5 AVENUE","10103"
"673","5 AVENUE","10022"
"675","5 AVENUE","10022"
"677","5 AVENUE","10022"
"680","5 AVENUE","10019"
"681","5 AVENUE","10022"
"685","5 AVENUE","10022"
"689","5 AVENUE","10022"
"693","5 AVENUE","10022"
"697","5 AVENUE","10022"
"705","5 AVENUE","10022"
"712","5 AVENUE","10019"
"715","5 AVENUE","10022"
"718","5 AVENUE","10019"
"720","5 AVENUE","10019"
"724","5 AVENUE","10019"
"725","5 AVENUE","10022"
"727","5 AVENUE","10022"
"728","5 AVENUE","10019"
"743","5 AVENUE","10022"
"745","5 AVENUE","10151"
"754","5 AVENUE","10019"
"754","5 AVENUE","10019"
"761","5 AVENUE","10022"
"767","5 AVENUE","10153"
"768","5 AVENUE","10019"
"783","5 AVENUE","10022"
"785","5 AVENUE","10022"
"800","5 AVENUE","10065"
"807","5 AVENUE","10065"
"810","5 AVENUE","10065"
"812","5 AVENUE","10065"
"815","5 AVENUE","10065"
"817","5 AVENUE","10065"
"819","5 AVENUE","10065"
"825","5 AVENUE","10065"
"830","5 AVENUE","10065"
"834","5 AVENUE","10065"
"838","5 AVENUE","10065"
"840","5 AVENUE","10065"
"854","5 AVENUE","10065"
"856","5 AVENUE","10065"
"857","5 AVENUE","10065"
